timestamp,device_id,ssd_name,log_type,file_source,sm_spare,sm_crit,sm_mdie,sm_used,sm_pc,sm_poh,sm_wctt,sm_cctt,sm_reads,sm_writes,sm_rbytes,sm_wbytes,state,slot,sn,namespace_id,namespace_name,read_ops,read_bytes,read_misalign,write_ops,write_bytes,write_misalign,trim_ops,trim_bytes,trim_misalign,size,nsid
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD5,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,477.0,1233.0,0.0,0.0,590787316.0,749212109.0,10909495808000.0,13679610880000.0,PS_QRUN,5.0,694S10N0TVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD12,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,477.0,1232.0,0.0,0.0,590202121.0,750530276.0,10904626176000.0,13685365760000.0,PS_QRUN,12.0,694S10N1TVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD1,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,476.0,1232.0,0.0,0.0,587008864.0,749572425.0,10810699264000.0,13656573952000.0,PS_QRUN,1.0,694S10OWTVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD2,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1228.0,0.0,0.0,590673546.0,750534719.0,10908799488000.0,13685314560000.0,PS_QRUN,2.0,694S10LFTVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD8,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1233.0,0.0,0.0,589918086.0,750681945.0,10904997888000.0,13686665728000.0,PS_QRUN,8.0,694S10LDTVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD10,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1229.0,0.0,0.0,589898854.0,749379284.0,10906496512000.0,13680632320000.0,PS_QRUN,10.0,694S10OVTVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD4,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1232.0,0.0,0.0,590286731.0,749371300.0,10907937280000.0,13680485376000.0,PS_QRUN,4.0,694S10N2TVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD3,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1233.0,0.0,0.0,589695526.0,749332715.0,10903834112000.0,13680475136000.0,PS_QRUN,3.0,694S10N3TVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD7,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1233.0,0.0,0.0,590005711.0,750673740.0,10907861504000.0,13686492672000.0,PS_QRUN,7.0,694S1085TVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.367000+00:00,E3A69807276C300C-BC7F54-B514050000,,NAMESPACE_STATS,2022-05-06T20:08:57.367+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,,,,,,,,,,,,,,,,3A4C1708276C300C-BC7F54-9502F90900,Virtual Machines,106389.0,2654736384.0,3074650112.0,316043.0,79813431296.0,10309021696.0,1251303.0,326739415040.0,121188352.0,1000000000000.0,1.0
